Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
TCS,3.3,IT Services & Consulting,(1.2L),Job Security,"Promotions, Salary, Work Satisfaction",Bengaluru +448 other locations
Accenture,3.7,IT Services & Consulting,(75.3k),,"Promotions, Salary, Work Satisfaction",Bengaluru +261 other locations
Wipro,3.6,IT Services & Consulting,(66.4k),,"Promotions, Salary, Work Satisfaction",Hyderabad +375 other locations
Cognizant,3.7,IT Services & Consulting,(62.7k),,"Promotions, Salary, Work Satisfaction",Hyderabad +233 other locations
Capgemini,3.6,IT Services & Consulting,(54.8k),"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",Bengaluru +188 other locations
HDFC Bank,3.8,Banking,(53.9k),"Job Security, Skill Development","Promotions, Salary",Mumbai +1866 other locations
Infosys,3.5,IT Services & Consulting,(49.9k),Job Security,"Promotions, Salary, Work Satisfaction",Bengaluru +247 other locations
HCLTech,3.4,IT Services & Consulting,(47.1k),,"Promotions, Salary, Work Satisfaction",Chennai +232 other locations
ICICI Bank,3.9,Banking,(46.8k),"Job Security, Promotions, Skill Development",,Mumbai +1451 other locations
Tech Mahindra,3.3,IT Services & Consulting,(44.3k),,"Promotions, Salary, Work Satisfaction",Hyderabad +323 other locations
Genpact,3.6,Analytics & KPO,(43.5k),Job Security,"Promotions, Salary, Work Satisfaction",Hyderabad +181 other locations
TP,3.9,BPO,(39.7k),"Work Life Balance, Job Security, Skill Development",,Mumbai +259 other locations
Axis Bank,3.6,Banking,(34.1k),,"Promotions, Work Satisfaction, Company Culture",Mumbai +1535 other locations
Jio,4.4,Telecom,(34.1k),"Job Security, Skill Development, Company Culture",,Mumbai +1967 other locations
Concentrix Corporation,3.5,BPO,(32.9k),Job Security,"Promotions, Salary, Work Satisfaction",Bengaluru +185 other locations
Amazon,3.9,Internet,(32.4k),"Company Culture, Work Life Balance, Salary",Promotions,Bengaluru +521 other locations
Reliance Retail,3.9,Retail,(27.8k),"Job Security, Skill Development, Work Life Balance",Promotions,Mumbai +1167 other locations
iEnergizer,4.6,BPO,(27.5k),"Company Culture, Work Life Balance, Work Satisfaction",,Noida +55 other locations
LTM Limited,3.6,IT Services & Consulting,(27k),,"Promotions, Salary, Work Satisfaction",Bengaluru +146 other locations
HDB Financial Services,3.9,NBFC,(26.3k),,"Promotions, Salary",Mumbai +1100 other locations
